70, 7.1
144, 13.3
491, 6.3
498, 22.8
750, 8.3
913, 12.4
1128, 6.2
1292, 12.8
1310, 4.1
1459, 13.3
1492, 12.7
1506, 13.0
1541, 8.4
1546, 4.0
1554, 4.3
1704, 4.8
1830, 9.8
2077, 5.3
2188, 7.3
2350, 15.9
2859, 4.1
2931, 4.6
3137, 7.1
3198, 14.3
3285, 11.0
3366, 4.6
3410, 15.6
3480, 5.7
3514, 15.9
3564, 7.1
3596, 4.2
3746, 8.4
3864, 17.0
4090, 11.5
4166, 15.9
4234, 13.1
4271, 5.1
4495, 12.4
4515, 13.1
4614, 10.1
4639, 8.5
4682, 18.3
4772, 5.2
4816, 5.4
4834, 4.3
4930, 11.1
4988, 5.4
5045, 21.5
5200, 8.0
5265, 4.6
5423, 5.6
5447, 6.0
5745, 3.9
5948, 5.7
6151, 11.8
6224, 7.1
6261, 17.2
6437, 9.2
6440, 7.2
6610, 5.2
6719, 17.7
6814, 8.3
6880, 12.8
6933, 4.4
6950, 4.1
6987, 12.3
7090, 11.5
7117, 4.1
7139, 4.6
7286, 6.7
7496, 7.8
7554, 6.4
7967, 14.6
7972, 12.1
8114, 6.1
8213, 13.1
8525, 6.9
8615, 5.8
8665, 5.2
9080, 6.1
9096, 5.7
9120, 6.6
9150, 3.8
9192, 15.5
9247, 5.2
9422, 5.8
9623, 8.7
9635, 18.8
9659, 5.9
9986, 4.8
10275, 6.9
10295, 4.3
10418, 4.7
10433, 4.2
10516, 8.7
10650, 21.9
10836, 9.0
11156, 9.3
11198, 4.6
